25490.00,7.89
24716.00,8.15
24524.00,8.25
24772.00,8.08
25574.00,7.84
25564.00,7.84
25116.00,7.99
24978.00,8.04
24162.00,8.29
22992.00,8.75
25794.00,7.78
24920.00,8.07
24950.00,8.02
24688.00,8.11
25816.00,7.76
19396.00,165.34
26558.00,7.56
24532.00,8.21
24402.00,8.31
24080.00,8.32
24606.00,8.19
25404.00,8.05
25484.00,8.05
26122.00,7.77
24496.00,8.36
23534.00,9.11
25758.00,7.82
26708.00,7.55
26224.00,7.71
25222.00,7.97
,
11970.00,17.07
12060.00,16.87
11712.00,17.58
11558.00,17.80
11864.00,17.25
11914.00,17.28
11346.00,18.09
11386.00,18.12
11624.00,17.61
11862.00,17.17
11608.00,17.65
12272.00,16.55
11506.00,17.75
11142.00,18.73
11536.00,17.97
1766.00,261.63
8410.00,24.18
8174.00,24.79
8608.00,23.58
8750.00,23.29
9672.00,21.04
9726.00,20.92
9696.00,20.99
9836.00,20.99
10046.00,20.34
9752.00,21.19
9494.00,21.63
8702.00,23.31
8874.00,22.86
8968.00,22.61
